date;clot
23/07/2008;68.25
24/07/2008;70.05
25/07/2008;69.9
28/07/2008;68.31
29/07/2008;68.03
30/07/2008;71.44
31/07/2008;70.95
01/08/2008;69.64
04/08/2008;69.29
05/08/2008;71.3
06/08/2008;71.92
07/08/2008;71.22
08/08/2008;72.65
11/08/2008;74.52
12/08/2008;73.97
13/08/2008;72.14
14/08/2008;70.97
15/08/2008;72.39
18/08/2008;72.92
19/08/2008;70.18
20/08/2008;70.55
21/08/2008;69.05
22/08/2008;71.08
25/08/2008;69.99
26/08/2008;70.67
27/08/2008;70.75
28/08/2008;72.96
29/08/2008;72.72
01/09/2008;73.075
02/09/2008;75.51
03/09/2008;73.21
04/09/2008;71.3
05/09/2008;69.44
08/09/2008;71
09/09/2008;71.715
10/09/2008;69.53
11/09/2008;67.335
12/09/2008;68.44
15/09/2008;66.53
16/09/2008;66.605
17/09/2008;65.24
18/09/2008;64.4
19/09/2008;68.14
22/09/2008;68.1
23/09/2008;65.195
24/09/2008;63.805
25/09/2008;65
26/09/2008;63.51
29/09/2008;61.365
30/09/2008;61.75
01/10/2008;62.5
02/10/2008;60.365
03/10/2008;60.415
06/10/2008;54.35
07/10/2008;55.335
08/10/2008;52.01
09/10/2008;51.285
10/10/2008;51.53
13/10/2008;58.18
14/10/2008;57.425
15/10/2008;53.14
16/10/2008;51.59
17/10/2008;54.635
20/10/2008;56.83
21/10/2008;55.565
22/10/2008;51.845
23/10/2008;50.46
24/10/2008;48.38
27/10/2008;46.8
28/10/2008;48.375
29/10/2008;50.1
30/10/2008;51.69
31/10/2008;51.865
03/11/2008;53.095
04/11/2008;56.865
05/11/2008;54.325
06/11/2008;49.64
07/11/2008;49.795
10/11/2008;49.305
11/11/2008;43.76
12/11/2008;43.74
13/11/2008;42.73
14/11/2008;41.335
17/11/2008;40.89
18/11/2008;40.865
19/11/2008;39.385
20/11/2008;39.49
21/11/2008;39.195
24/11/2008;44.06
25/11/2008;45.705
26/11/2008;42.98
27/11/2008;44.825
28/11/2008;44.58
01/12/2008;43.315
02/12/2008;42.62
03/12/2008;44.22
04/12/2008;43.57
05/12/2008;41.46
08/12/2008;45.8
09/12/2008;48.81
10/12/2008;48.24
11/12/2008;48.8
12/12/2008;46.66
15/12/2008;46.86
16/12/2008;47.655
17/12/2008;46.9
18/12/2008;47.42
19/12/2008;47.02
22/12/2008;45.32
23/12/2008;44.715
24/12/2008;46
29/12/2008;45.97
30/12/2008;46.785
31/12/2008;47.77
02/01/2009;48.4
05/01/2009;48.86
06/01/2009;49.45
07/01/2009;48.835
08/01/2009;47.12
09/01/2009;45.995
12/01/2009;45.455
13/01/2009;45.73
14/01/2009;40.915
15/01/2009;41
16/01/2009;40.755
19/01/2009;40
20/01/2009;40.74
21/01/2009;41.51
22/01/2009;41.92
23/01/2009;41.065
26/01/2009;43.935
27/01/2009;43.35
28/01/2009;45.605
29/01/2009;42.88
30/01/2009;42.805
02/02/2009;42
03/02/2009;42.33
04/02/2009;45.07
05/02/2009;44.4
06/02/2009;50.02
09/02/2009;49.98
10/02/2009;47.39
11/02/2009;48.82
12/02/2009;48.145
13/02/2009;48.585
16/02/2009;47.83
17/02/2009;47.39
18/02/2009;46.85
19/02/2009;47.295
20/02/2009;45.76
23/02/2009;45.245
24/02/2009;45.9
25/02/2009;46.25
26/02/2009;46.455
27/02/2009;45.38
02/03/2009;43.405
03/03/2009;44
04/03/2009;47.24
05/03/2009;45.755
06/03/2009;44.72
09/03/2009;43.205
10/03/2009;46.08
11/03/2009;48.22
12/03/2009;49.3
13/03/2009;48.39
16/03/2009;48.95
17/03/2009;47.69
18/03/2009;49.345
19/03/2009;48.97
20/03/2009;49.015
23/03/2009;48.805
24/03/2009;49.06
25/03/2009;48.865
26/03/2009;47.88
27/03/2009;46.81
30/03/2009;45.34
31/03/2009;47.29
01/04/2009;48.305
02/04/2009;51.29
03/04/2009;51.85
06/04/2009;51.385
07/04/2009;50.48
08/04/2009;50.38
09/04/2009;51.95
14/04/2009;52.76
15/04/2009;52.37
