"date	ouv	haut	bas	clot	vol	devise"
"12/04/2007 00:00	5744.42	5759.27	5701.35	5748.94	5575	Pts"
"13/04/2007 00:00	5762.06	5794.62	5748.74	5789.34	4737	Pts"
"16/04/2007 00:00	5815.36	5861.97	5806.52	5861.97	5738	Pts"
"17/04/2007 00:00	5844.49	5871.86	5820.74	5858.14	6075	Pts"
"18/04/2007 00:00	5849.2	5859.17	5813.46	5835.95	6868	Pts"
"19/04/2007 00:00	5775.56	5834.25	5745.03	5829.04	7973	Pts"
"20/04/2007 00:00	5856.5	5957.8	5855.26	5938.9	11130	Pts"
"23/04/2007 00:00	5937.15	5958.47	5904.56	5917.32	6389	Pts"
"24/04/2007 00:00	5911.65	5923.61	5860.69	5886.03	6728	Pts"
"25/04/2007 00:00	5902.54	5962.39	5902.54	5947.33	6360	Pts"
"26/04/2007 00:00	5979.96	5981.55	5930.91	5944.44	6385	Pts"
"27/04/2007 00:00	5940.76	5950.99	5908.38	5930.77	6019	Pts"
"30/04/2007 00:00	5913.03	5976.34	5913.03	5960.04	4581	Pts"
"02/05/2007 00:00	5985.2	6001.17	5958.98	5990.13	6881	Pts"
"03/05/2007 00:00	6018.59	6019.7	5969.71	6004.28	6446	Pts"
"04/05/2007 00:00	6012.55	6075.58	5999.79	6068.83	7150	Pts"
"07/05/2007 00:00	6079.86	6081.78	6058.92	6071.48	3849	Pts"
"08/05/2007 00:00	6057.59	6064.2	6015.99	6034.25	5401	Pts"
"09/05/2007 00:00	6070.18	6078.28	6020.69	6051.63	6765	Pts"
"10/05/2007 00:00	6044.67	6058.1	6006.99	6012.76	7205	Pts"
"11/05/2007 00:00	5956	6051.19	5927.51	6050.63	9005	Pts"
"14/05/2007 00:00	6070.3	6070.3	6016.96	6026.42	5509	Pts"
"15/05/2007 00:00	6001.75	6057.71	5987.49	6049.76	6635	Pts"
"16/05/2007 00:00	6039.55	6053.02	6012.84	6017.91	6396	Pts"
"17/05/2007 00:00	6044.15	6048.97	6010.76	6027	3916	Pts"
"18/05/2007 00:00	6018.23	6111.72	6016.12	6101.14	7541	Pts"
"21/05/2007 00:00	6091.59	6110.31	6062.33	6089.91	5548	Pts"
"22/05/2007 00:00	6093.64	6106.98	6076.87	6089.72	5507	Pts"
"23/05/2007 00:00	6093.61	6121.87	6093.32	6120.2	6329	Pts"
"24/05/2007 00:00	6069.95	6110.36	6039.32	6048.31	6302	Pts"
"25/05/2007 00:00	6019.68	6073.37	6011.49	6057.49	5362	Pts"
"28/05/2007 00:00	6065.25	6073.99	6051.17	6071.47	870	Pts"
"29/05/2007 00:00	6079.67	6079.67	6044.51	6056.39	4373	Pts"
"30/05/2007 00:00	6015.75	6046.11	5986.26	6042.15	5454	Pts"
"31/05/2007 00:00	6086.86	6119.33	6066.98	6104	7339	Pts"
"01/06/2007 00:00	6113.18	6168.15	6105.61	6168.15	6560	Pts"
"04/06/2007 00:00	6157.33	6163.9	6112.29	6125.81	5610	Pts"
"05/06/2007 00:00	6140.06	6142.37	6076.59	6078.54	6348	Pts"
